text,condition,record_type
My puppy was dewormed but still has occasional diarrhea.,Parasites,Owner Observation
Monitor renal and hepatic function in patients on long-term NSAIDs.,Mobility Problems,Clinical Notes
"Discuss realistic expectations for managing chronic, end-stage ear condition.",Ear Infections,Clinical Notes
"My dog has developed skin tags, especially on his chest and legs.",Skin Irritations,Owner Observation
Canine recurrent flank alopecia noted; seasonal pattern.,Skin Irritations,Clinical Notes
Lice infestation; apply topical permethrin.,Parasites,Clinical Notes
"Erythema multiforme suspected; search for trigger (drug reaction, infection).",Skin Irritations,Clinical Notes
Evidence of self-trauma (licking) on distal limb; consider acral lick dermatitis.,Skin Irritations,Clinical Notes
My dog has developed a growth on his eyelid margin.,Skin Irritations,Owner Observation
Found things that look like dried rice stuck near my dog's butt.,Parasites,Owner Observation
"Cat has a poor appetite, which might be due to chronic joint pain.",Mobility Problems,Owner Observation
"Document all findings, recommendations, and communications.",Skin Irritations,Clinical Notes
"My cat vomits clear or white foam, usually in the morning.",Digestive Issues,Owner Observation
"Cat finally coughed up a huge, dense hairball.",Digestive Issues,Owner Observation
My cat has dandruff-like flakes all over her black fur.,Skin Irritations,Owner Observation
Discuss carboplatin chemotherapy protocol following amputation for OSA.,Mobility Problems,Clinical Notes
My cat vomited something that looked like a grain of rice.,Parasites,Owner Observation
Palliative radiation therapy recommended for pain control in non-surgical OSA candidate.,Mobility Problems,Clinical Notes
Use milbemycin oxime/spinosad (Trifexis) for heartworm/flea/intestinal parasite prevention (dogs only).,Parasites,Clinical Notes
Allergen-specific immunotherapy (ASIT) discussed as long-term option for atopy.,Skin Irritations,Clinical Notes
Consider referral to surgeon for TECA or polyp removal.,Ear Infections,Clinical Notes
"My cat vomits white foam occasionally, unrelated to meals.",Digestive Issues,Owner Observation
"Referral for orthopedic surgery consultation recommended (e.g., TPLO for CCL rupture, FHO for hip dysplasia).",Mobility Problems,Clinical Notes
My dog's ear infection spread to the other ear.,Ear Infections,Owner Observation
Identified plant awn (foxtail) deep in horizontal canal; removed via alligator forceps.,Ear Infections,Clinical Notes
"Rabbit isn't using its litter box, just staying in one spot.",Mobility Problems,Owner Observation
Check FeLV/FIV status in cats with unusual or severe skin condition.,Skin Irritations,Clinical Notes
"Recommend topical flea/tick preventative (e.g., fipronil, selamectin, isoxazoline).",Parasites,Clinical Notes
Fecal flotation positive for Ancylostoma caninum (hookworm) eggs.,Parasites,Clinical Notes
"Adult-onset demodicosis warrants investigation for underlying immunosuppression (e.g., neoplasia, endocrine condition, immunosuppressive drugs).",Parasites,Clinical Notes
Trichogram reveals damaged hair shafts consistent with excessive licking.,Skin Irritations,Clinical Notes
My cat started shaking her head right after coming back from the groomer.,Ear Infections,Owner Observation
"My ferret is grinding its teeth and has dark, tarry stools.",Digestive Issues,Owner Observation
"Bloodwork reveals mild non-regenerative anemia, hypoalbuminemia, and low cobalamin. Ultrasound recommended.",Digestive Issues,Clinical Notes
"Discuss potential complications of ear surgery (facial nerve paralysis, hearing loss).",Ear Infections,Clinical Notes
Rabbit struggles and seems painful when I try to pick it up.,Mobility Problems,Owner Observation
Pemphigus foliaceus suspected due to crusting on face and paws; biopsy for histopathology.,Skin Irritations,Clinical Notes
"Puppy has small, pus-filled bumps on his belly and groin.",Skin Irritations,Owner Observation
Bacterial otitis; clean and apply antibiotic drops.,Ear Infections,Clinical Notes
Rabbit's belly feels hard and distended.,Digestive Issues,Owner Observation
Dog's ear canal bleeds when I try to clean it gently.,Ear Infections,Owner Observation
Advise owner to seek immediate attention if neurological signs develop or worsen.,Ear Infections,Clinical Notes
"My cat's ears have a really strong, yeasty smell.",Ear Infections,Owner Observation
"Ensure owner understands how to properly store (e.g., refrigerate) and warm medications if needed.",Ear Infections,Clinical Notes
Cat flinches and tensees up when I touch her belly.,Digestive Issues,Owner Observation
Prescribe sarolaner (Simparica) or lotilaner (Credelio) for monthly flea and tick control.,Parasites,Clinical Notes
Campylobacter jejuni isolated from fecal culture; treat with erythromycin if clinical signs warrant.,Digestive Issues,Clinical Notes
My dog slipped a disc and needs crate rest.,Mobility Problems,Owner Observation
My dog's hips make a popping sound when he walks.,Mobility Problems,Owner Observation
"Rabbit presents with anorexia and decreased fecal output x 36 hrs. Abdomen slightly distended, doughy cecum palpated. Suspect GI stasis.",Digestive Issues,Clinical Notes
My rabbit's ear is drooping.,Ear Infections,Owner Observation
Puppy's ears feel warmer than the rest of his body.,Ear Infections,Owner Observation
My dog won't stop shaking his head and flapping his ears.,Ear Infections,Owner Observation
Cat no longer jumps up onto counters or windowsills.,Mobility Problems,Owner Observation
"Assess quality of life using validated scale (e.g., Helsinki Chronic Pain Index, Canine Brief Pain Inventory).",Mobility Problems,Clinical Notes
Advise owner that Sarcoptes mites can cause transient pruritus in humans.,Parasites,Clinical Notes
Perform acetate tape preparation to check for yeast/bacteria.,Skin Irritations,Clinical Notes
Verify owner compliance with administration of monthly preventatives.,Parasites,Clinical Notes
Exploratory laparotomy performed; biopsies collected.,Digestive Issues,Clinical Notes
Demonstrate proper technique for administering oral liquid medications or pilling.,Digestive Issues,Clinical Notes
Vomiting with no obstruction; monitor and hydrate.,Digestive Issues,Clinical Notes
Esophagostomy tube placed for long-term nutritional support in anorexic feline patient.,Digestive Issues,Clinical Notes
My rabbit is producing 'string of pearls' feces (hair linked together).,Digestive Issues,Owner Observation
My ferret seems lethargic because of the ear issue.,Ear Infections,Owner Observation
My puppy might have a foxtail or grass seed stuck down in his ear.,Ear Infections,Owner Observation
Advise use of E-collar to prevent self-trauma.,Skin Irritations,Clinical Notes
My ferret has scabs around its neck and shoulders.,Skin Irritations,Owner Observation
Tapeworm infection; prescribe drontal.,Parasites,Clinical Notes
"Degenerative myelopathy suspected based on breed, age, progressive UMN signs in hind limbs; genetic testing available.",Mobility Problems,Clinical Notes
My dog's back seems hunched or arched.,Mobility Problems,Owner Observation
My dog has a sudden inability to walk (paralysis).,Mobility Problems,Owner Observation
"Rabbit seems depressed and isn't eating much, maybe pain related.",Mobility Problems,Owner Observation
My dog avoids the hardwood floors and prefers rugs.,Mobility Problems,Owner Observation
"Primary secretory otitis media (PSOM) suspected; bulging, opaque TM noted. Myringotomy may be indicated.",Ear Infections,Clinical Notes
Discuss potential side effects of long-term steroid use.,Skin Irritations,Clinical Notes
Puppy has Demodex mites causing localized hair loss.,Parasites,Owner Observation
Cat has suddenly become very picky about food.,Digestive Issues,Owner Observation
My dog has a decreased appetite and seems generally unwell.,Digestive Issues,Owner Observation
Prescribe oclacitinib (Apoquel) or corticosteroids for rapid relief of intense pruritus associated with FAD/mange.,Parasites,Clinical Notes
My cat has tapeworm segments appearing intermittently.,Parasites,Owner Observation
"My dog pants excessively, even when resting.",Mobility Problems,Owner Observation
My dog's tail has become completely bald (rat tail).,Skin Irritations,Owner Observation
"Noticed a small, wart-like growth on my dog's eyelid.",Skin Irritations,Owner Observation
My dog's nose leather is cracked and dry.,Skin Irritations,Owner Observation
Assess contralateral ear even if asymptomatic.,Ear Infections,Clinical Notes
"Kitten is sneezing frequently, could it be a nasal parasite?",Parasites,Owner Observation
"Suspect GDV based on signalment, non-productive retching, and abdominal distension. Stabilize and perform emergency surgery.",Digestive Issues,Clinical Notes
My cat is walking with her head tilted sharply to the right.,Ear Infections,Owner Observation
Cat growls or hisses when I try to pet her lower back or hips.,Mobility Problems,Owner Observation
Abdominal distension; radiograph for obstruction.,Digestive Issues,Clinical Notes
"Alopecia and scaling on dorsum; rule out dermatophytosis, collect fungal culture.",Skin Irritations,Clinical Notes
Subcutaneous Cuterebra larva identified by breathing pore; surgically remove intact larva.,Parasites,Clinical Notes
Ferret has lost almost all the hair on its tail.,Skin Irritations,Owner Observation
Puppy vomited a piece of a toy.,Digestive Issues,Owner Observation
Pain elicited on tail jack and direct palpation over lumbosacral junction; suspect degenerative lumbosacral stenosis (DLSS).,Mobility Problems,Clinical Notes
"Feline panleukopenia virus antigen test positive in unvaccinated kitten with severe leukopenia, V/D.",Digestive Issues,Clinical Notes
My rabbit’s hind legs shake when hopping.,Mobility Problems,Owner Observation
My rabbit is producing fecal pellets linked by strands of hair.,Digestive Issues,Owner Observation
"My rabbit is stretching out frequently, looks uncomfortable.",Digestive Issues,Owner Observation
Cutaneous trunci reflex cutoff identified.,Mobility Problems,Clinical Notes
"Dog has red bumps all over his belly, and I found black 'dirt' that smears red.",Parasites,Owner Observation
"Consider placement of BNT (Bactericidal, Nematicidal, Triamcinolone) packing in stenotic canals.",Ear Infections,Clinical Notes
"Rule out aberrant parasite migration (e.g., Cuterebra in brain) with advanced imaging if neurological signs present.",Parasites,Clinical Notes
Chronic otitis externa and recurrent skin infections; strong suspicion for underlying atopic dermatitis.,Skin Irritations,Clinical Notes
Complete neurological exam performed and findings localized lesion to C1-C5 / C6-T2 / T3-L3 / L4-S3 spinal cord segments / neuromuscular / multifocal.,Mobility Problems,Clinical Notes
Rabbit has crusting and hair loss around the ear base.,Ear Infections,Owner Observation
Cat has vestibular signs that started suddenly.,Ear Infections,Owner Observation
My cat has resistant ear mites.,Parasites,Owner Observation
"Clinical signs (caudal dorsal pruritus, papules, excoriations) highly suggestive of Flea Allergy Dermatitis (FAD). Strict flea control essential.",Parasites,Clinical Notes
Nasogastric tube placed for nutritional support.,Digestive Issues,Clinical Notes
My puppy has floppy ears that don't get much air circulation.,Ear Infections,Owner Observation
My dog has allergies and gets ear infections frequently.,Ear Infections,Owner Observation
My guinea pig’s ears have dark wax and smell bad.,Ear Infections,Owner Observation
My dog has Lyme arthritis causing lameness that shifts legs.,Mobility Problems,Owner Observation
Otoscopy: Right TM intact but erythematous. Left TM obscured by purulent debris and canal stenosis.,Ear Infections,Clinical Notes
"Fecal analysis: Direct smear negative for motile organisms, flotation negative for ova/parasites.",Digestive Issues,Clinical Notes
"My Doberman has Wobbler's, causing a clumsy gait.",Mobility Problems,Owner Observation
"My dog had an infection in one ear, now the other one seems affected too.",Ear Infections,Owner Observation
"Fecal culture positive for Clostridium perfringens enterotoxin; treat symptomatically, consider metronidazole if severe.",Digestive Issues,Clinical Notes
"Toxoplasma gondii IgM titer positive, suggesting active/recent infection. Discuss treatment (clindamycin) and zoonotic precautions.",Parasites,Clinical Notes
"My ferret is lethargic and passing dark, sticky feces.",Digestive Issues,Owner Observation
Lyme C6 antibody test positive; initiate doxycycline therapy.,Mobility Problems,Clinical Notes
"My cat hunts mice, should I be worried about worms?",Parasites,Owner Observation
My dog has heartworm condition and needs treatment.,Parasites,Owner Observation
"Patient presents for acute onset vomiting (x5 today) and anorexia. Mild dehydration noted (tacky MM, CRT 2s).",Digestive Issues,Clinical Notes
My puppy's ears need regular cleaning to prevent issues.,Ear Infections,Owner Observation
My cat has inflammation deep in the ear canal.,Ear Infections,Owner Observation
Educate owner on proper ear medication administration technique.,Ear Infections,Clinical Notes
My bird is plucking its own feathers out.,Parasites,Owner Observation
Rabbit has Passalurus ambiguus (pinworms).,Parasites,Owner Observation
Rule out hypothyroidism via T4/TSH/free T4 testing.,Skin Irritations,Clinical Notes
Discuss long-term prognosis and expected outcomes with owner.,Mobility Problems,Clinical Notes
My indoor-only cat somehow got fleas.,Parasites,Owner Observation
"My cat has intermittent constipation, goes several days without defecating.",Digestive Issues,Owner Observation
My dog has dandruff-like scales along his back.,Parasites,Owner Observation
Provide client handout illustrating common intestinal parasites and their control.,Parasites,Clinical Notes
Consider acupuncture or chiropractic care as adjunctive therapies.,Mobility Problems,Clinical Notes
Advise avoidance of known allergens if possible.,Skin Irritations,Clinical Notes
Otitis media/interna common sequela to respiratory infection in rabbits.,Ear Infections,Clinical Notes
"Wet tail in hamster; guarded prognosis, provide heat support, antibiotics, fluids.",Digestive Issues,Clinical Notes
Consider therapeutic laser sessions.,Mobility Problems,Clinical Notes
My cat's skin irritation (miliary dermatitis) is caused by fleas.,Parasites,Owner Observation
My hamster has diarrhea and a wet tail area.,Digestive Issues,Owner Observation
"My dog's breath smells unusually foul, almost like sewage.",Digestive Issues,Owner Observation
Utilize zinc sulfate centrifugation for fecal flotation to improve Giardia cyst detection.,Parasites,Clinical Notes
Schedule phone update or recheck appointment based on patient stability and owner preference.,Digestive Issues,Clinical Notes
Fecal score recorded (using standardized chart).,Digestive Issues,Clinical Notes
My dog has progressive hind limb weakness diagnosed as DM.,Mobility Problems,Owner Observation
Pet’s belly is distended and he’s lethargic.,Digestive Issues,Owner Observation
"My rabbit has thick, honey-colored crusts filling its ear canals.",Parasites,Owner Observation
"Recommend physical therapy/rehabilitation (e.g., underwater treadmill, laser therapy, passive range of motion exercises).",Mobility Problems,Clinical Notes
Pattern baldness (pinnal alopecia) noted in Dachshund; cosmetic issue.,Skin Irritations,Clinical Notes
"My cat has Toxoplasma antibodies, need to discuss risks.",Parasites,Owner Observation
My rabbit's appetite has slowly decreased over several days.,Digestive Issues,Owner Observation
Osteochondritis dissecans (OCD) flap identified on caudal aspect of humeral head.,Mobility Problems,Clinical Notes
"Monitor for fever, lethargy, anorexia indicating systemic involvement.",Ear Infections,Clinical Notes
Otitis externa with erythema; prescribe steroid therapy.,Ear Infections,Clinical Notes
My dog injured his back (IVDD) and requires strict rest.,Mobility Problems,Owner Observation
"Palpable medial buttress (fibrosis of joint capsule) present in left stifle, indicative of chronic CCL condition.",Mobility Problems,Clinical Notes
Ferret is scratching under its arms.,Skin Irritations,Owner Observation
"Neoplasia (e.g., adenocarcinoma, lymphoma) high on differential list for older animal.",Digestive Issues,Clinical Notes
Kitten still has diarrhea despite multiple deworming treatments.,Parasites,Owner Observation
"Dog coughs sometimes, vet mentioned possible heartworm or lungworm.",Parasites,Owner Observation
Consider referral to neurologist if central vestibular signs suspected.,Ear Infections,Clinical Notes
"Immune-mediated polyarthritis suspected; perform joint taps on multiple joints (carpi, stifles, hocks), ANA titer, rheumatoid factor.",Mobility Problems,Clinical Notes
Ensure rabbit environment is clean to prevent flystrike.,Parasites,Clinical Notes
Instruct owner on proper administration of oral medications.,Digestive Issues,Clinical Notes
Treat secondary pyoderma with appropriate antibiotics based on cytology/culture.,Parasites,Clinical Notes
Recommend imaging (CT or MRI) to evaluate middle and inner ear structures.,Ear Infections,Clinical Notes
"Dog shivers or trembles, seems like he's in pain.",Mobility Problems,Owner Observation
Cat has arthritis secondary to previous injury.,Mobility Problems,Owner Observation
"Kitten has severe, bloody diarrhea caused by Coccidia.",Parasites,Owner Observation
Strategic deworming protocol recommended for puppies/kittens.,Parasites,Clinical Notes
Recommend hypoallergenic diet trial for suspected food allergy.,Digestive Issues,Clinical Notes
Prescribe spinosad (Comfortis) or spinetoram (Cheristin) for flea control.,Parasites,Clinical Notes
Exocrine pancreatic insufficiency (EPI) suspected due to steatorrhea and weight loss; TLI test recommended.,Digestive Issues,Clinical Notes
Cat has shown no interest in food for 24 hours.,Digestive Issues,Owner Observation
Assess hearing crudely via response to auditory stimuli (clap test). BAER testing definitive.,Ear Infections,Clinical Notes
Cerenia injection administered for anti-emetic effect.,Digestive Issues,Clinical Notes
Ferret has thinning fur overall.,Skin Irritations,Owner Observation
My cat seems off balance and walks in circles sometimes.,Ear Infections,Owner Observation
Suspect gastric ulceration due to melena/hematemesis and NSAID history. Start omeprazole and sucralfate.,Digestive Issues,Clinical Notes
"My rabbit has soft, unformed droppings instead of normal pellets.",Digestive Issues,Owner Observation
Cat shows pain when her spine is gently pressed.,Mobility Problems,Owner Observation
Chronic constipation; prescribe lactulose.,Digestive Issues,Clinical Notes
"My rabbit's fur looks like it has dandruff, but the flakes are moving!",Parasites,Owner Observation
Cat is hiding more and interacting less.,Mobility Problems,Owner Observation
Legg-Calve-Perthes condition (avascular necrosis of femoral head) suspected in young small breed dog.,Mobility Problems,Clinical Notes
My cat started peeing next to the litter box instead of climbing in.,Mobility Problems,Owner Observation
Administer Apoquel for rapid relief of allergic itch.,Skin Irritations,Clinical Notes
Intradermal allergy testing indicated for non-seasonal pruritus.,Skin Irritations,Clinical Notes
Radiographs show narrowing of L7-S1 disc space.,Mobility Problems,Clinical Notes
Spondylosis deformans noted incidentally on spinal radiographs; may not be clinically significant.,Mobility Problems,Clinical Notes
My cat was diagnosed with lungworm after chronic respiratory signs.,Parasites,Owner Observation
"Guinea pig has lice, visible as small white dots.",Parasites,Owner Observation
Guinea pig has dandruff that seems to be moving.,Parasites,Owner Observation
Treat tick-borne condition with doxycycline.,Parasites,Clinical Notes
My rabbit vomited a small amount of green fluid.,Digestive Issues,Owner Observation
Dog has swimmer's ear.,Ear Infections,Owner Observation
Juvenile cellulitis (puppy strangles) presenting with facial swelling and pustules.,Skin Irritations,Clinical Notes
My dog gets ear infections every summer after swimming in the lake.,Ear Infections,Owner Observation
Myringotomy performed to sample middle ear fluid.,Ear Infections,Clinical Notes
Parvovirus snap test positive; initiate isolation protocol and supportive care.,Digestive Issues,Clinical Notes
Document parasite findings and treatment plan in medical record.,Parasites,Clinical Notes
Ferret has diarrhea and is dehydrated.,Digestive Issues,Owner Observation
My dog has Ehrlichia from a tick.,Parasites,Owner Observation
Administer subcutaneous fluids for rehydration.,Digestive Issues,Clinical Notes
"Instruct owner on monitoring toes for swelling, coldness, or odor distal to cast/splint.",Mobility Problems,Clinical Notes
"My cat had ear polyps removed before, worried they are back.",Ear Infections,Owner Observation
"Protein-losing enteropathy (PLE) suspected; differentials include lymphangiectasia, IBD, lymphoma. Further workup needed.",Digestive Issues,Clinical Notes
My puppy had roundworms treated but still has diarrhea.,Parasites,Owner Observation
Found a flea on myself after petting the cat.,Parasites,Owner Observation
My cat has sores appearing on her paw pads.,Skin Irritations,Owner Observation
"Treat Cheyletiella with selamectin, ivermectin, or fipronil.",Parasites,Clinical Notes
"Panosteitis suspected in young, large breed dog with shifting leg lameness and long bone pain on palpation.",Mobility Problems,Clinical Notes
My dog's knees look puffy and feel warm.,Mobility Problems,Owner Observation
Puppy has redness and irritation around his genitals.,Skin Irritations,Owner Observation
"Use milbemycin oxime (Interceptor, Sentinel) for heartworm/roundworm/hookworm/whipworm prevention.",Parasites,Clinical Notes
Reassess pain control at each visit.,Mobility Problems,Clinical Notes
Cat has pain when her spine is palpated.,Mobility Problems,Owner Observation
"Suspect contact dermatitis on ventral chest/abdomen; advise owner regarding potential irritants (bedding, cleaners).",Skin Irritations,Clinical Notes
"Implement routine deworming schedule for puppies/kittens (e.g., starting at 2 weeks, repeat every 2 weeks).",Parasites,Clinical Notes
Absence of withdrawal reflex in hind limbs.,Mobility Problems,Clinical Notes
Suspect pancreatitis based on clinical signs and history; cPL snap test pending.,Digestive Issues,Clinical Notes
Paraspinal hyperesthesia noted in T13-L2 region. Rule out Type I IVDD.,Mobility Problems,Clinical Notes
Sebaceous adenitis suspected due to follicular casts and alopecia; biopsy confirms.,Skin Irritations,Clinical Notes
Luxated joint identified; attempt closed reduction.,Mobility Problems,Clinical Notes
Dog has developed hives all over his body after rolling in the grass.,Skin Irritations,Owner Observation
Knemidokoptes mites causing scaly face/leg in bird; treat with ivermectin.,Parasites,Clinical Notes
Discuss importance of year-round flea prevention.,Skin Irritations,Clinical Notes
Papules and erythema on chest; medicated wash prescribed.,Skin Irritations,Clinical Notes
My dog pants heavily even when resting indoors.,Mobility Problems,Owner Observation
Intestinal parasites should be considered a differential for chronic vomiting or diarrhea.,Parasites,Clinical Notes
My dog's back legs seem weak and sometimes give out.,Mobility Problems,Owner Observation
"Recommend installing ramps, using non-slip mats, providing orthopedic bedding, and using raised food/water bowls.",Mobility Problems,Clinical Notes
"GI stasis suspected in rabbit; provide supportive care (fluids, analgesia, motility drugs).",Digestive Issues,Clinical Notes
"Rule out underlying trauma (e.g., bite wound, foreign body penetration) as cause of pinnal swelling/infection.",Ear Infections,Clinical Notes
Monitor for cast sores or swelling distal to bandage.,Mobility Problems,Clinical Notes
Cat has diarrhea after getting into the dog's food.,Digestive Issues,Owner Observation
"Instruct owner on monitoring parameters: appetite (scale 1-5), vomiting episodes, fecal score (1-7), activity level.",Digestive Issues,Clinical Notes
Guinea pig has flaky skin and hair loss on its rump.,Skin Irritations,Owner Observation
My guinea pig's droppings are much smaller and fewer than usual.,Digestive Issues,Owner Observation
My dog has blackheads and pimples on his muzzle.,Skin Irritations,Owner Observation
"Impacted and infected anal sacs causing pain and reluctance to defecate. Expressed sacs, infuse antibiotic ointment.",Digestive Issues,Clinical Notes
Monitor body condition score (BCS) and muscle condition score (MCS).,Digestive Issues,Clinical Notes
"Advise owner on modifications like using carpet runners, ramps instead of stairs, and avoiding slippery surfaces.",Mobility Problems,Clinical Notes
Cat has vomited multiple times in the last hour.,Digestive Issues,Owner Observation
My rabbit has crusty sores around its nose and mouth.,Skin Irritations,Owner Observation
"Bilateral otitis externa (AU). Moderate erythema, mild edema, copious brown ceruminous exudate.",Ear Infections,Clinical Notes
Guinea pig is losing weight and has diarrhea.,Digestive Issues,Owner Observation
"My dog licks his paws raw, vet mentioned possible mites.",Parasites,Owner Observation
"Cytauxzoon felis piroplasms identified on peripheral blood smear. Initiate treatment (atovaquone/azithromycin), grave prognosis.",Parasites,Clinical Notes
"Provide comprehensive written discharge summary including diagnosis, treatment plan, and follow-up.",Ear Infections,Clinical Notes
Osteoarthritis in elbows; start joint supplements.,Mobility Problems,Clinical Notes
"Prescribe topical antibiotic/antifungal/steroid combination (e.g., Mometamax, Otomax, Claro).",Ear Infections,Clinical Notes
Advise hypoallergenic shampoo and conditioner.,Skin Irritations,Clinical Notes
My dog begs for food but then walks away when I offer it.,Digestive Issues,Owner Observation
Initiate IV fluid therapy and monitor electrolytes.,Digestive Issues,Clinical Notes
"Symmetrical alopecia on flanks; rule out endocrine disorders (hypothyroidism, Cushing's).",Skin Irritations,Clinical Notes
Acral lick granuloma on carpus; address underlying anxiety/boredom.,Skin Irritations,Clinical Notes
Initiate 8-week hypoallergenic food trial (novel protein or hydrolyzed diet) for suspected food allergy.,Skin Irritations,Clinical Notes
Adjust medication dosages as needed.,Mobility Problems,Clinical Notes
Cat's skin seems very thin and tears easily.,Skin Irritations,Owner Observation
Seborrhea with erythema on limbs; shampoo therapy started.,Skin Irritations,Clinical Notes
"Neurological examination reveals hind limb ataxia, proprioceptive deficits, and hyperreflexia.",Mobility Problems,Clinical Notes
"My dog is frantically chewing at his hind end, and I see little black specks in his fur.",Parasites,Owner Observation
There's yellowish pus draining from my puppy's ear.,Ear Infections,Owner Observation
Scaling and redness on ears; topical steroids prescribed.,Skin Irritations,Clinical Notes
My dog has patellar luxation (kneecap slips).,Mobility Problems,Owner Observation
Otoscopic exam: Tympanic membrane visualized and intact (left ear); obscured by debris (right ear).,Ear Infections,Clinical Notes
Check for ticks within the ear canal.,Ear Infections,Clinical Notes
Pruritic sores on chest; medicated bath recommended.,Skin Irritations,Clinical Notes
"If treating resistant Pseudomonas, consider TrizEDTA flushes and potentially compounded topical antibiotics based on MIC values.",Ear Infections,Clinical Notes
Cutaneous B-cell lymphoma suspected based on multiple nodules; biopsy for confirmation and staging.,Skin Irritations,Clinical Notes
Dog has hair loss in a pattern that follows the leash/collar line.,Skin Irritations,Owner Observation
Puppy's ears always seem damp and dirty inside.,Ear Infections,Owner Observation
Cerebrospinal fluid (CSF) analysis results within normal limits.,Mobility Problems,Clinical Notes
"My dog licks his front paws incessantly, vet mentioned possible Demodex.",Parasites,Owner Observation
"Perianal irritation and scooting; express anal sacs, check for tapeworms.",Skin Irritations,Clinical Notes
Pododermatitis with interdigital swelling and discharge; cytology shows yeast and bacteria.,Skin Irritations,Clinical Notes
OFA preliminary radiographs suggest moderate elbow dysplasia.,Mobility Problems,Clinical Notes
Cat spends most of her time sleeping in secluded spots.,Mobility Problems,Owner Observation
My dog has degenerative myelopathy (DM).,Mobility Problems,Owner Observation
Calcinosis cutis suspected in patient on chronic steroids; firm plaques on dorsum.,Skin Irritations,Clinical Notes
"My dog just seems 'off' - lethargic, poor appetite.",Digestive Issues,Owner Observation
"Recommend screening for tick-borne conditions 4-8 weeks after known tick exposure, even if asymptomatic.",Parasites,Clinical Notes
Dog's skin is sensitive to touch in certain areas.,Skin Irritations,Owner Observation
Guinea pig hasn't produced any droppings in 24 hours.,Digestive Issues,Owner Observation
"Kitten has flaky skin, like bad dandruff.",Skin Irritations,Owner Observation
"Cat is excessively grooming her belly, making it bald.",Parasites,Owner Observation
Skin biopsy submitted for histopathology and culture.,Skin Irritations,Clinical Notes
My Siamese cat is developing crusty lesions on her ear tips and nose.,Skin Irritations,Owner Observation
"Rabbit has lost fur on its nose, looks sore.",Parasites,Owner Observation
"Recommend medicated shampoo (e.g., chlorhexidine, ketoconazole) based on cytology findings.",Skin Irritations,Clinical Notes
Immune-mediated skin condition suspected; requires further workup.,Skin Irritations,Clinical Notes
"My hamster is scratching a lot and has dry, flaky skin.",Parasites,Owner Observation
"Rabbit is only eating greens, refusing hay.",Digestive Issues,Owner Observation
Rabbit has become incontinent (urine and feces).,Mobility Problems,Owner Observation
"Dog has pale, clay-colored stools.",Digestive Issues,Owner Observation
Advise bathing pet with appropriate shampoo to remove flea dirt/scales.,Parasites,Clinical Notes
Ferret is walking with a stiff gait.,Mobility Problems,Owner Observation
Recommend omega-3 fatty acid supplementation to support skin barrier function.,Skin Irritations,Clinical Notes
Supraspinatus tendinopathy suspected.,Mobility Problems,Clinical Notes
Puppy constantly has dirty ears despite regular cleaning.,Ear Infections,Owner Observation
My rabbit shakes its head frequently.,Ear Infections,Owner Observation
My cat has Giardia and needs medication.,Parasites,Owner Observation
"Bumblefoot (pododermatitis) present in guinea pig; address husbandry (bedding, hygiene) and treat infection/pain.",Mobility Problems,Clinical Notes
My hamster's droppings are stuck together.,Digestive Issues,Owner Observation
Bone biopsy collected for histopathology.,Mobility Problems,Clinical Notes
"Found a long, segmented worm in the dog's stool this morning.",Parasites,Owner Observation
"Dog seems nauseous (drooling, lip smacking) and refused his favorite treat.",Digestive Issues,Owner Observation
PennHIP evaluation performed for hip laxity assessment.,Mobility Problems,Clinical Notes
Vertical ear canal ablation (VECA) considered for neoplasia confined to vertical canal.,Ear Infections,Clinical Notes
Document response to previous treatments.,Ear Infections,Clinical Notes
"Cat has tiny scabs all over her back, feels like sandpaper.",Parasites,Owner Observation
Heartworm adulticide treatment (melarsomine injections) administered according to AHS guidelines. Strict exercise restriction crucial.,Parasites,Clinical Notes
"Evaluate for concurrent dermatological conditions (e.g., FAD, atopy).",Ear Infections,Clinical Notes
Implement long-term maintenance protocol involving weekly cleaning and application of topical steroid.,Ear Infections,Clinical Notes
"Observe gait at walk and trot, assess for head bob (forelimb) or hip hike (hindlimb).",Mobility Problems,Clinical Notes
Exploratory laparotomy reveals linear foreign body extending from stomach to jejunum. Enterotomy performed.,Digestive Issues,Clinical Notes
"Cat has chronic intermittent vomiting, maybe once or twice a week.",Digestive Issues,Owner Observation
My ferret seems generally unwell since the ear problem started.,Ear Infections,Owner Observation
My puppy has had soft stools since we adopted him from the shelter.,Digestive Issues,Owner Observation
Rabbit seems unable to move its hind legs properly.,Mobility Problems,Owner Observation
My dog has Lyme condition causing shifting leg lameness.,Mobility Problems,Owner Observation
Solar dermatitis on non-pigmented pinnae/planum nasale; advise sun avoidance/sunscreen.,Skin Irritations,Clinical Notes
Culture results: Methicillin-resistant Staphylococcus pseudintermedius (MRSP); consult on treatment.,Ear Infections,Clinical Notes
Nodular dermatofibrosis; recommend abdominal ultrasound to check for renal cystadenocarcinoma.,Skin Irritations,Clinical Notes
My rabbit keeps shaking its head back and forth.,Ear Infections,Owner Observation
"My dog seems sensitive around his head, flinches when petted near ears.",Ear Infections,Owner Observation
Abdominal ultrasound shows hyperechoic pancreas with surrounding mesenteric reaction. No obvious foreign body or mass.,Digestive Issues,Clinical Notes
Lateral ear resection discussed as potential surgical option to improve ventilation.,Ear Infections,Clinical Notes
Ensure owner understands chronicity and need for ongoing management in many cases.,Ear Infections,Clinical Notes
